时间		开盘		最高		最低		收盘		涨跌		涨幅%		振幅%		总手(万)		金额(亿)		
2016-09-19,一	3005.32		3026.65		3005.32		3026.05		+23.20		0.77		0.710		11922502700	133168828000	
2016-09-20,二	3027.17		3027.82		3015.88		3023.00		-3.05		-0.10		0.394		11892411700	139662300000	
2016-09-21,三	3021.58		3032.45		3017.54		3025.87		+2.87		0.10		0.493		11572121300	134133726000	
2016-09-22,四	3038.42		3054.44		3035.07		3042.31		+16.44		0.54		0.640		13930955000	159031060000	
2016-09-23,五	3044.79		3046.81		3032.80		3033.90		-8.42		-0.28		0.460		12559097600	147377740000	
2016-09-26,一	3028.24		3028.24		2980.12		2980.43		-53.47		-1.76		1.59		14433029000	162257250000	
2016-09-27,二	2974.59		2998.23		2969.13		2998.17		+17.74		0.60		0.976		12170145000	133372708000	
2016-09-28,三	3000.70		3000.70		2984.32		2987.86		-10.31		-0.34		0.546		10462569700	116437377000	
2016-09-29,四	2992.17		3009.20		2991.91		2998.48		+10.63		0.36		0.579		11321391900	122728570000	
2016-09-30,五	2994.25		3009.20		2993.06		3004.70		+6.22		0.21		0.538		10133356200	112794538000	
2016-10-10,一	3020.46		3048.24		3014.62		3048.14		+43.44		1.45		1.12		16005110000	175521790000	
2016-10-11,二	3051.62		3066.10		3048.02		3065.25		+17.11		0.56		0.593		16727350000	183787650000	
2016-10-12,三	3057.32		3060.51		3048.89		3058.50		-6.75		-0.22		0.379		14249358000	159982960000	
2016-10-13,四	3057.97		3065.00		3052.64		3061.35		+2.85		0.09		0.404		15475673000	166335870000	
2016-10-14,五	3056.99		3064.79		3043.18		3063.81		+2.46		0.08		0.706		15537371000	163792990000	
2016-10-17,一	3064.69		3068.81		3033.75		3041.17		-22.64		-0.74		1.14		16373327000	180594080000	
2016-10-18,二	3037.40		3084.19		3037.40		3083.88		+42.71		1.40		1.54		18204246000	196036130000	
2016-10-19,三	3085.75		3096.22		3076.77		3084.72		+0.84		0.03		0.631		18247014000	197481140000	
2016-10-20,四	3084.91		3089.68		3076.30		3084.46		-0.26		-0.01		0.434		16069136000	177674540000	
2016-10-21,五	3081.39		3101.85		3069.27		3090.94		+6.48		0.21		1.06		18738807000	201953660000	
2016-10-24,一	3092.05		3137.03		3090.79		3128.25		+37.31		1.21		1.50		24052235000	250354390000	
2016-10-25,二	3127.97		3132.50		3121.05		3131.94		+3.69		0.12		0.366		20338090000	220861460000	
2016-10-26,三	3129.84		3129.84		3110.39		3116.31		-15.63		-0.50		0.621		19166326000	215767710000	
2016-10-27,四	3112.60		3114.76		3100.39		3112.35		-3.96		-0.13		0.461		15800879000	182237130000	
2016-10-28,五	3111.70		3128.64		3101.24		3104.27		-8.08		-0.26		0.880		18177412000	212593010000	
2016-10-31,一	3097.19		3102.30		3081.07		3100.49		-3.78		-0.12		0.684		15150676000	178427750000	
2016-11-01,二	3101.66		3122.61		3097.04		3122.44		+21.95		0.71		0.825		16023203000	195831590000	
2016-11-02,三	3115.73		3118.98		3099.82		3102.73		-19.71		-0.63		0.614		18272207000	221676540000	
2016-11-03,四	3096.77		3140.93		3094.10		3128.94		+26.21		0.84		1.51		22298626000	265820360000	
2016-11-04,五	3126.35		3141.33		3119.54		3125.32		-3.62		-0.12		0.696		19768320000	239043260000	
2016-11-07,一	3124.89		3139.20		3117.10		3133.33		+8.01		0.26		0.707		17941849000	210602320000	
2016-11-08,二	3140.94		3156.88		3134.95		3147.89		+14.56		0.46		0.700		19084698000	221585120000	
2016-11-09,三	3146.08		3146.95		3096.95		3128.37		-19.52		-0.62		1.59		24111496000	277229390000	
2016-11-10,四	3148.54		3172.31		3148.54		3171.28		+42.91		1.37		0.760		24419260000	285992810000	
2016-11-11,五	3169.40		3202.74		3166.07		3196.04		+24.76		0.78		1.16		31085458000	343773950000	
2016-11-14,一	3187.71		3221.46		3186.80		3210.37		+14.33		0.45		1.08		32960831000	346974630000	
2016-11-15,二	3209.95		3214.29		3195.04		3206.99		-3.38		-0.11		0.600		24088635000	267003870000	
2016-11-16,三	3208.50		3210.89		3195.41		3205.06		-1.93		-0.06		0.483		22176699000	244854510000	
2016-11-17,四	3198.50		3211.05		3187.21		3208.45		+3.39		0.11		0.744		21420624000	226775850000	
2016-11-18,五	3207.19		3212.39		3187.50		3192.86		-15.59		-0.49		0.776		20982664000	235352060000	
2016-11-21,一	3188.50		3229.76		3188.28		3218.15		+25.29		0.79		1.30		23065284000	263177810000	
2016-11-22,二	3220.98		3249.68		3220.98		3248.35		+30.20		0.94		0.892		26163155000	292484830000	
2016-11-23,三	3247.94		3262.88		3231.59		3241.14		-7.21		-0.22		0.963		24995959000	277942470000	
2016-11-24,四	3237.43		3257.86		3232.87		3241.74		+0.60		0.02		0.771		23232453000	267224710000	
2016-11-25,五	3241.24		3262.44		3209.60		3261.94		+20.20		0.62		1.63		23392160000	259117040000	
2016-11-28,一	3270.05		3288.34		3267.67		3277.00		+15.06		0.46		0.634		28155125000	300460150000	
2016-11-29,二	3269.23		3301.21		3263.40		3282.92		+5.92		0.18		1.15		32083629000	348149350000	
2016-11-30,三	3272.14		3277.27		3239.52		3250.03		-32.89		-1.00		1.15		24357605000	262808740000	
2016-12-01,四	3257.03		3279.67		3256.26		3273.31		+23.28		0.72		0.720		23775986000	261553930000	
2016-12-02,五	3270.12		3279.71		3235.28		3243.84		-29.47		-0.90		1.36		25956721000	281559100000	
2016-12-05,一	3203.78		3219.52		3194.88		3204.71		-39.13		-1.21		0.760		22301039000	238598030000	
2016-12-06,二	3202.03		3215.31		3196.52		3199.65		-5.06		-0.16		0.586		15757269000	177170150000	
2016-12-07,三	3198.47		3222.43		3189.49		3222.24		+22.59		0.71		1.03		16907285000	189443850000	
2016-12-08,四	3225.55		3228.12		3211.47		3215.37		-6.87		-0.21		0.517		17071017000	197802070000	
2016-12-09,五	3209.34		3244.80		3207.04		3232.88		+17.51		0.54		1.17		20402396000	226387160000	
2016-12-12,一	3233.67		3245.09		3149.90		3152.97		-79.91		-2.47		2.94		27470846000	294260140000	
2016-12-13,二	3138.99		3162.50		3118.71		3155.04		+2.07		0.07		1.39		18516450000	203175460000	
2016-12-14,三	3149.38		3170.02		3136.35		3140.53		-14.51		-0.46		1.07		20135889000	219206160000	
2016-12-15,四	3125.76		3138.78		3100.91		3117.68		-22.85		-0.73		1.21		18999063000	212863240000	
2016-12-16,五	3111.51		3128.87		3106.35		3122.98		+5.30		0.17		0.722		16498870000	189844750000	
2016-12-19,一	3120.70		3125.28		3110.08		3118.08		-4.90		-0.16		0.487		15416972000	174500240000	
2016-12-20,二	3115.90		3117.01		3084.80		3102.88		-15.20		-0.49		1.03		15742676000	171611880000	
2016-12-21,三	3107.24		3140.25		3107.24		3137.43		+34.55		1.11		1.06		18670661000	204247810000	
2016-12-22,四	3132.16		3143.17		3126.89		3139.56		+2.13		0.07		0.519		16780499000	185981560000	
2016-12-23,五	3134.93		3138.40		3103.75		3110.15		-29.41		-0.94		1.10		16617677000	189281180000	
2016-12-26,一	3095.58		3122.88		3068.42		3122.57		+12.42		0.40		1.75		15257188000	170555610000	
2016-12-27,二	3117.39		3127.88		3113.75		3114.66		-7.91		-0.25		0.453		14152894000	162193910000	
2016-12-28,三	3113.77		3118.78		3094.55		3102.24		-12.42		-0.40		0.778		13572709000	154329650000	
2016-12-29,四	3095.84		3111.80		3087.34		3096.10		-6.14		-0.20		0.788		13262329200	149919180000	
2016-12-30,五	3097.35		3108.84		3089.99		3103.64		+7.54		0.24		0.609		13326713000	151732780000	
2017-01-03,二	3105.31		3136.46		3105.31		3135.92		+32.28		1.04		1.00		14156719000	159887140000	
2017-01-04,三	3133.79		3160.10		3130.11		3158.79		+22.87		0.73		0.956		16786085000	195914290000	
2017-01-05,四	3157.91		3168.50		3154.28		3165.41		+6.62		0.21		0.450		17472765000	199692030000	
2017-01-06,五	3163.78		3172.03		3153.03		3154.32		-11.09		-0.35		0.600		18370897000	207296040000	
2017-01-09,一	3148.53		3173.14		3147.74		3171.24		+16.92		0.54		0.805		17171408000	192110580000	
2017-01-10,二	3167.57		3174.58		3157.33		3161.67		-9.57		-0.30		0.544		17975922000	194963220000	
2017-01-11,三	3156.69		3167.03		3136.27		3136.75		-24.92		-0.79		0.973		17836222000	189186460000	
2017-01-12,四	3133.60		3144.97		3115.98		3119.29		-17.46		-0.56		0.924		14888924000	161922300000	
2017-01-13,五	3116.08		3130.51		3102.16		3112.76		-6.53		-0.21		0.909		15627421000	174438550000	
2017-01-16,一	3104.49		3105.14		3044.29		3103.43		-9.33		-0.30		1.95		25788600000	262826040000	
2017-01-17,二	3087.03		3108.91		3072.34		3108.77		+5.34		0.17		1.18		13615786000	154757550000	
2017-01-18,三	3104.77		3123.72		3098.59		3113.01		+4.24		0.14		0.808		13178012800	144546720000	
2017-01-19,四	3104.97		3115.78		3094.01		3101.30		-11.71		-0.38		0.699		12385142000	139280460000	
2017-01-20,五	3095.82		3125.66		3095.21		3123.14		+21.84		0.70		0.982		12236677700	141471810000	
2017-01-23,一	3125.42		3145.84		3125.42		3136.77		+13.63		0.44		0.654		13266039200	148145740000	
2017-01-24,二	3134.59		3149.53		3131.22		3142.55		+5.78		0.18		0.584		12597388100	134553850000	
2017-01-25,三	3137.65		3151.47		3133.19		3149.55		+7.00		0.22		0.582		11207382700	126765830000	
2017-01-26,四	3149.22		3163.10		3148.91		3159.17		+9.62		0.31		0.451		11387677200	125013194000	
