时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2016-07-11,一	8.97		9.03		8.93		8.99		+0.67%		1.12%		52,364,502	470,815,580	0.177		1991		
2016-07-12,二	9.01		9.15		8.99		9.13		+1.56%		1.78%		84,610,773	768,638,270	0.286		2298		
2016-07-13,三	9.12		9.53		9.09		9.16		+0.33%		4.82%		107,852,983	1,002,626,130	0.365		2388		
2016-07-14,四	9.18		9.45		9.17		9.30		+1.53%		3.06%		79,780,597	742,127,510	0.270		2595		
2016-07-15,五	9.31		9.37		9.23		9.25		-0.54%		1.51%		47,959,780	446,193,490	0.162		2258		
2016-07-18,一	9.35		9.83		9.35		9.54		+3.14%		5.19%		148,707,610	1,430,165,800	0.503		2679		
2016-07-19,二	9.72		9.88		9.35		9.50		-0.42%		5.56%		107,932,764	1,032,839,910	0.365		2619		
2016-07-20,三	9.52		9.54		9.28		9.29		-2.21%		2.74%		71,462,991	669,749,290	0.242		2613		
2016-07-21,四	9.31		9.39		9.23		9.31		+0.22%		1.72%		89,434,886	832,431,580	0.303		2570		
2016-07-22,五	9.29		9.35		9.21		9.22		-0.97%		1.50%		76,710,471	712,636,100	0.260		2323		
2016-07-25,一	9.21		9.28		9.12		9.19		-0.33%		1.74%		92,945,289	852,286,920	0.315		2508		
2016-07-26,二	9.17		9.25		9.14		9.23		+0.44%		1.20%		119,662,212	1,101,561,110	0.405		2629		
2016-07-27,三	9.22		9.25		9.06		9.24		+0.11%		2.06%		143,041,790	1,312,307,510	0.484		2609		
2016-07-28,四	9.19		9.22		9.11		9.13		-1.19%		1.19%		70,561,015	647,188,800	0.239		2374		
2016-07-29,五	9.17		9.20		9.14		9.16		+0.33%		0.66%		109,791,488	1,005,606,950	0.372		2376		
2016-08-01,一	9.15		9.24		9.14		9.22		+0.66%		1.09%		78,891,693	725,981,970	0.267		2316		
2016-08-02,二	9.20		9.23		9.16		9.20		-0.22%		0.76%		66,826,298	613,796,530	0.226		2234		
2016-08-03,三	9.11		9.21		9.10		9.15		-0.54%		1.20%		105,704,061	966,858,420	0.358		2207		
2016-08-04,四	9.14		9.15		9.08		9.14		-0.11%		0.77%		73,232,080	666,981,120	0.248		2341		
2016-08-05,五	9.14		9.47		9.12		9.30		+1.75%		3.83%		105,712,370	980,386,360	0.358		2530		
2016-08-08,一	9.28		9.28		9.15		9.23		-0.75%		1.40%		83,953,293	772,214,380	0.284		2616		
2016-08-09,二	9.23		9.25		9.19		9.24		+0.11%		0.65%		66,700,868	614,514,650	0.226		2396		
2016-08-10,三	9.23		9.26		9.22		9.24		+0.00%		0.43%		59,176,210	546,679,560	0.200		2089		
2016-08-11,四	9.25		9.51		9.23		9.31		+0.76%		3.03%		111,453,900	1,048,606,170	0.377		2522		
2016-08-12,五	9.32		9.53		9.24		9.49		+1.93%		3.11%		110,727,309	1,040,181,960	0.375		2504		
2016-08-15,一	9.49		9.81		9.43		9.71		+2.32%		4.00%		164,732,860	1,594,295,500	0.557		2748		
2016-08-16,二	9.76		9.78		9.34		9.41		-3.09%		4.53%		210,662,170	1,997,704,300	0.713		2786		
2016-08-17,三	9.42		9.44		9.33		9.41		+0.00%		1.17%		78,808,667	739,729,170	0.267		2391		
2016-08-18,四	9.37		9.44		9.31		9.36		-0.53%		1.38%		78,711,488	736,960,290	0.266		2546		
